Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?org.apache.struts.taglib.html.TOKEN=7735a8962a4401f763deafce7c27b135&SERIES_KEY=124.MIR.M.U2.B.A2B.F.R.A.2250.EUR.N&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=QF
,MIR.M.U2.B.A2B.F.R.A.2250.EUR.N,Quarterly Frequency
2006Nov,7.63,
2006Oct,7.47,
2006Sep,7.67,7.51
2006Aug,7.68,
2006Jul,7.19,
2006Jun,6.97,7.00
2006May,7.10,
2006Apr,6.94,
2006Mar,6.67,6.75
2006Feb,6.76,
2006Jan,6.83,
2005Dec,6.64,6.69
2005Nov,6.63,
2005Oct,6.79,
2005Sep,6.98,6.86
2005Aug,6.94,
2005Jul,6.65,
2005Jun,6.59,6.69
2005May,6.92,
2005Apr,6.55,
2005Mar,6.57,6.53
2005Feb,6.15,
2005Jan,6.88,
2004Dec,6.67,6.75
2004Nov,6.84,
2004Oct,6.75,
2004Sep,6.87,6.83
2004Aug,7.04,
2004Jul,6.59,
2004Jun,6.54,6.72
2004May,6.73,
2004Apr,6.88,
2004Mar,6.80,6.82
2004Feb,6.76,
2004Jan,6.90,
2003Dec,7.08,6.86
2003Nov,6.92,
2003Oct,6.58,
2003Sep,6.76,6.76
2003Aug,6.92,
2003Jul,6.61,
2003Jun,6.50,6.76
2003May,6.96,
2003Apr,6.83,
2003Mar,6.67,6.77
2003Feb,6.92,
2003Jan,6.71,
2002Dec,6.44,6.50
2002Nov,6.53,
2002Oct,6.53,
2002Sep,6.70,6.70
2002Aug,6.69,
2002Jul,6.71,
2002Jun,6.77,6.72
2002May,6.71,
2002Apr,6.67,
2002Mar,6.68,6.66
2002Feb,6.65,
2002Jan,6.64,
2001Dec,6.65,6.72
2001Nov,6.71,
2001Oct,6.79,
2001Sep,6.92,6.90
2001Aug,6.97,
2001Jul,6.82,
2001Jun,6.89,6.94
2001May,6.96,
2001Apr,6.97,
2001Mar,7.01,7.04
2001Feb,7.06,
2001Jan,7.04,
2000Dec,7.08,7.02
2000Nov,7.04,
2000Oct,6.95,
2000Sep,6.93,6.87
2000Aug,6.88,
2000Jul,6.80,
2000Jun,6.80,6.66
2000May,6.63,
2000Apr,6.56,
2000Mar,6.54,6.52
2000Feb,6.51,
2000Jan,6.51,
